Date,Open,High,Low,Close,Adj Close,Volume
2000-10-10,3769.728027,3769.728027,3644.070557,3644.070557,2985.383301,855193
2000-10-11,3706.899414,3706.899414,3329.926514,3329.926514,2728.021973,810262
2000-10-12,3499.564209,3581.241699,3392.755371,3392.755371,2779.494629,665132
2000-10-13,3329.926514,3329.926514,3141.440186,3141.440186,2573.606201,808484
2000-10-16,3392.755371,3474.432617,3392.755371,3392.755371,2779.494629,372735
2000-10-17,3424.169678,3424.169678,3285.946289,3285.946289,2691.991455,294081
2000-10-18,3317.360596,3329.926514,2921.539307,2921.539307,2393.453857,830646
2000-10-19,3110.025635,3216.834717,3110.025635,3110.025635,2547.870117,689709
2000-10-20,3329.926514,3355.058105,3298.512207,3298.512207,2702.286133,623370
2000-10-23,3361.340820,3455.583984,3361.340820,3361.340820,2753.758301,154029
2000-10-24,3411.604004,3518.412842,3411.604004,3411.604004,2794.936035,743652
2000-10-25,3512.129883,3568.675781,3436.735352,3436.735352,2815.524902,1366570
2000-10-26,3392.755371,3499.564209,3367.623779,3367.623779,2758.905518,692448
2000-10-27,3493.281494,3543.544434,3493.281494,3493.281494,2861.849854,145573
2000-10-30,3537.261475,3537.261475,3443.018311,3443.018311,2820.672119,497655
2000-10-31,3443.018311,3443.018311,3443.018311,3443.018311,2820.672119,0
2000-11-01,3581.241699,3769.728027,3581.241699,3725.747803,3052.296631,322699
2000-11-02,3706.899414,3763.445313,3694.333496,3744.596680,3067.738037,209887
2000-11-03,3763.445313,3801.142578,3706.899414,3801.142578,3114.062988,423046
2000-11-06,3801.142578,3801.142578,3656.636230,3750.879395,3072.885010,144347
2000-11-07,3738.313721,3788.576660,3719.465088,3719.465088,3047.149658,428346
2000-11-08,3769.728027,3776.010986,3706.899414,3725.747803,3052.296631,212130
2000-11-09,3706.899414,3706.899414,3581.241699,3581.241699,2933.910400,796871
2000-11-10,3606.373291,3606.373291,3348.775146,3455.583984,2830.966553,566362
2000-11-13,3348.775146,3380.189453,3323.643555,3323.643555,2722.874756,188835
2000-11-14,3329.926514,3348.775146,3235.683350,3311.077881,2712.580566,341238
2000-11-15,3392.755371,3405.321045,3172.854492,3229.400391,2645.666992,573378
2000-11-16,3204.268799,3204.268799,2968.660889,2990.650879,2450.072998,416086
2000-11-17,2962.377930,3047.197021,2952.953613,3047.197021,2496.397949,300666
2000-11-20,3047.197021,3078.611328,2952.953613,2978.085205,2439.778564,165395
2000-11-21,2952.953613,2984.368164,2839.861816,2839.861816,2326.540039,253695
2000-11-22,2971.802246,2971.802246,2808.447510,2824.154541,2313.671631,532397
2000-11-23,2817.871582,2817.871582,2670.224121,2670.224121,2187.564941,300430
2000-11-24,2701.638428,2701.638428,2626.243896,2638.809814,2161.828857,326899
2000-11-27,2689.072754,2733.052979,2651.375488,2651.375488,2172.123535,423783
2000-11-28,2670.224121,2670.224121,2450.323242,2450.323242,2007.412720,286691
